Date,High,Low,Open,Close,Volume,Adj Close,Name
2018-01-02,120.18000030517578,117.93000030517578,119.93000030517578,118.05999755859375,4165800.0,107.83097076416016,PEP
2018-01-03,118.47000122070312,117.63999938964844,117.91000366210938,117.75,4224000.0,107.5478286743164,PEP
2018-01-04,119.11000061035156,117.5999984741211,117.80000305175781,118.33000183105469,3147000.0,108.07758331298828,PEP
2018-01-05,119.08999633789062,118.25,118.41000366210938,118.66999816894531,2714200.0,108.38812255859375,PEP
2018-01-08,118.73999786376953,117.66999816894531,118.20999908447266,117.98999786376953,5730400.0,107.76703643798828,PEP
2018-01-09,118.9800033569336,117.94999694824219,118.26000213623047,118.08000183105469,4573600.0,107.84925079345703,PEP
2018-01-10,118.36000061035156,116.69999694824219,118.12999725341797,117.4800033569336,3363900.0,107.30123901367188,PEP
2018-01-11,117.8499984741211,116.37999725341797,117.63999938964844,116.87999725341797,3685200.0,106.75322723388672,PEP
2018-01-12,118.01000213623047,116.8499984741211,116.94999694824219,117.37999725341797,4335500.0,107.20988464355469,PEP
2018-01-16,118.3499984741211,117.02999877929688,117.19999694824219,117.86000061035156,4936500.0,107.64830780029297,PEP
2018-01-17,120.16999816894531,118.20999908447266,118.29000091552734,119.18000030517578,4554600.0,108.85394287109375,PEP
2018-01-18,119.62000274658203,118.6500015258789,119.08999633789062,119.05000305175781,6221800.0,108.7352066040039,PEP
2018-01-19,120.68000030517578,118.63999938964844,119.4800033569336,120.16999816894531,6002600.0,109.75814819335938,PEP
2018-01-22,121.8499984741211,120.0,120.0999984741211,121.51000213623047,4308600.0,110.9820785522461,PEP
2018-01-23,122.51000213623047,120.8499984741211,121.06999969482422,121.30000305175781,3536900.0,110.79026794433594,PEP
2018-01-24,121.4800033569336,120.81999969482422,121.23999786376953,121.13999938964844,3445200.0,110.64412689208984,PEP
2018-01-25,121.44999694824219,120.36000061035156,120.61000061035156,120.9000015258789,2712900.0,110.4249038696289,PEP
2018-01-26,121.83999633789062,120.61000061035156,120.61000061035156,121.76000213623047,3993900.0,111.21039581298828,PEP
2018-01-29,122.16000366210938,119.6500015258789,121.37999725341797,119.66999816894531,3854700.0,109.30148315429688,PEP
2018-01-30,121.19999694824219,119.5,119.68000030517578,119.88999938964844,4945200.0,109.5024185180664,PEP
2018-01-31,120.75,119.51000213623047,119.83999633789062,120.30000305175781,4018100.0,109.87690734863281,PEP
2018-02-01,121.01000213623047,119.27999877929688,119.91999816894531,120.30000305175781,3485600.0,109.87690734863281,PEP
2018-02-02,120.27999877929688,118.4000015258789,119.91000366210938,118.66999816894531,3348900.0,108.38812255859375,PEP
2018-02-05,119.66000366210938,114.41000366210938,118.56999969482422,114.45999908447266,5347600.0,104.54290008544922,PEP
2018-02-06,113.94999694824219,110.1500015258789,112.44000244140625,113.55999755859375,6642600.0,103.72087860107422,PEP
2018-02-07,115.7699966430664,112.75,113.97000122070312,113.5,4931400.0,103.66606140136719,PEP
2018-02-08,113.72000122070312,110.08999633789062,113.69999694824219,110.1500015258789,4907900.0,100.60630798339844,PEP
2018-02-09,111.98999786376953,108.87999725341797,110.80999755859375,111.18000030517578,5301700.0,101.54708862304688,PEP
2018-02-12,112.75,111.05999755859375,111.9000015258789,111.93000030517578,4759200.0,102.23210144042969,PEP
2018-02-13,112.66999816894531,110.68000030517578,112.0,112.13999938964844,5274700.0,102.42391967773438,PEP
